conf/qosa/2011,978-1-4503-0724-6,"7th International Conference on the Quality of Software Architectures, QoSA 2011 and 2nd International Symposium on Architecting Critical Systems, ISARCS 2011. Boulder, CO, USA, June 20-24, 2011, Proceedings",2011,ACM,db/conf/qosa/qosa2011.html,proceedings
conf/icann/2013,http://dx.doi.org/10.1007/978-3-642-40728-4,"Artificial Neural Networks and Machine Learning - ICANN 2013 - 23rd International Conference on Artificial Neural Networks, Sofia, Bulgaria, September 10-13, 2013. Proceedings",2013,Springer,db/conf/icann/icann2013.html,proceedings
conf/ic3/2014,http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=6892117,"Seventh International Conference on Contemporary Computing, IC3 2014, Noida, India, August 7-9, 2014",2014,IEEE,db/conf/ic3/ic3-2014.html,proceedings
conf/his/2004,0-7695-2291-2,"4th International Conference on Hybrid Intelligent Systems (HIS 2004), 5-8 December 2004, Kitakyushu, Japan",2005,IEEE Computer Society,db/conf/his/his2004.html,proceedings
conf/ppsn/2004,3-540-23092-0,"Parallel Problem Solving from Nature - PPSN VIII, 8th International Conference, Birmingham, UK, September 18-22, 2004, Proceedings",2004,Springer,db/conf/ppsn/ppsn2004.html,proceedings
conf/cbse/2013,http://dl.acm.org/citation.cfm?id=2465449,"CBSE'13, Proceedings of the 16th ACM SIGSOFT Symposium on Component Based Software Engineering, part of Comparch '13, Vancouver, BC, Canada, June 17-21, 2013",2013,ACM,db/conf/cbse/cbse2013.html,proceedings
conf/ppsn/2006,3-540-38990-3,"Parallel Problem Solving from Nature - PPSN IX, 9th International Conference, Reykjavik, Iceland, September 9-13, 2006, Procedings",2006,Springer,db/conf/ppsn/ppsn2006.html,proceedings
conf/egItaly/2008,978-3-905673-68-5,"Eurographics Italian Chapter Conference 2008, Salerno, Italy, 2008",2008,Eurographics,db/conf/egItaly/egItaly2008.html,proceedings
conf/ppsn/2000,3-540-41056-2,"Parallel Problem Solving from Nature - PPSN VI, 6th International Conference, Paris, France, September 18-20, 2000, Proceedings",2000,Springer,db/conf/ppsn/ppsn2000.html,proceedings
conf/ppsn/2002,3-540-44139-5,"Parallel Problem Solving from Nature - PPSN VII, 7th International Conference, Granada, Spain, September 7-11, 2002, Proceedings",2002,Springer,db/conf/ppsn/ppsn2002.html,proceedings
conf/dcoss/2005,3-540-26422-1,"Distributed Computing in Sensor Systems, First IEEE International Conference, DCOSS 2005, Marina del Rey, CA, USA, June 30 - July 1, 2005, Proceedings",2005,Springer,db/conf/dcoss/dcoss2005.html,proceedings
conf/atmos/2004,978-3-540-74245-6,"Algorithmic Methods for Railway Optimization, International Dagstuhl Workshop, Dagstuhl Castle, Germany, June 20-25, 2004, 4th International Workshop, ATMOS 2004, Bergen, Norway, September 16-17, 2004, Revised Selected Papers",2007,Springer,db/conf/atmos/atmos2004.html,proceedings
conf/dcoss/2008,978-3-540-69169-3,"Distributed Computing in Sensor Systems, 4th IEEE International Conference, DCOSS 2008, Santorini Island, Greece, June 11-14, 2008, Proceedings",2008,Springer,db/conf/dcoss/dcoss2008.html,proceedings
conf/dagstuhl/2006vision,978-3-540-33971-7,"Cognitive Vision Systems, Sampling the Spectrum of Approaches [based on a Dagstuhl seminar]",2006,Springer,db/conf/dagstuhl/vision2006.html,proceedings
conf/uist/2013,http://dl.acm.org/citation.cfm?id=2501988,"The 26th Annual ACM Symposium on User Interface Software and Technology, UIST'13, St. Andrews, United Kingdom, October 8-11, 2013",2013,ACM,db/conf/uist/uist2013.html,proceedings
conf/dars/2010,http://dx.doi.org/10.1007/978-3-642-32723-0,"Distributed Autonomous Robotic Systems - The 10th International Symposium, DARS 2010, Lausanne, Switzerland, November 1-3, 2010",2013,Springer,db/conf/dars/dars2010.html,proceedings
conf/icic/2012-3,http://dx.doi.org/10.1007/978-3-642-31837-5,"Emerging Intelligent Computing Technology and Applications - 8th International Conference, ICIC 2012, Huangshan, China, July 25-29, 2012. Proceedings",2012,Springer,db/conf/icic/icic2012-3.html,proceedings
conf/eccv/2012w3,http://dx.doi.org/10.1007/978-3-642-33885-4,"Computer Vision - ECCV 2012. Workshops and Demonstrations - Florence, Italy, October 7-13, 2012, Proceedings, Part III",2012,Springer,db/conf/eccv/eccv2012w3.html,proceedings
conf/bibm/2011,http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=6120121,"IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2011, Atlanta, GA, USA, 12-15 November, 2011",2011,IEEE,db/conf/bibm/bibm2011.html,proceedings
conf/eccv/2012w1,http://dx.doi.org/10.1007/978-3-642-33863-2,"Computer Vision - ECCV 2012. Workshops and Demonstrations - Florence, Italy, October 7-13, 2012, Proceedings, Part I",2012,Springer,db/conf/eccv/eccv2012w1.html,proceedings
conf/eccv/2012w2,http://dx.doi.org/10.1007/978-3-642-33868-7,"Computer Vision - ECCV 2012. Workshops and Demonstrations - Florence, Italy, October 7-13, 2012, Proceedings, Part II",2012,Springer,db/conf/eccv/eccv2012w2.html,proceedings
conf/icann/2010-2,http://dx.doi.org/10.1007/978-3-642-15822-3,"Artificial Neural Networks - ICANN 2010, 20th International Conference, Thessaloniki, Greece, September 15-18, 2010, Proceedings, Part II",2010,Springer,db/conf/icann/icann2010-2.html,proceedings
conf/icann/2010-1,http://dx.doi.org/10.1007/978-3-642-15819-3,"Artificial Neural Networks - ICANN 2010 - 20th International Conference, Thessaloniki, Greece, September 15-18, 2010, Proceedings, Part I",2010,Springer,db/conf/icann/icann2010-1.html,proceedings
conf/ic3/2013,http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=6595807,"Sixth International Conference on Contemporary Computing, IC3 2013, Noida, India, August 8-10, 2013",2013,IEEE,db/conf/ic3/ic3-2013.html,proceedings
conf/ant/2013,,"Proceedings of the 4th International Conference on Ambient Systems, Networks and Technologies (ANT 2013), the 3rd International Conference on Sustainable Energy Information Technology (SEIT-2013), Halifax, Nova Scotia, Canada, June 25-28, 2013",2013,Elsevier,db/conf/ant/ant2013.html,proceedings
conf/ic3/2012,http://dx.doi.org/10.1007/978-3-642-32129-0,"Contemporary Computing - 5th International Conference, IC3 2012, Noida, India, August 6-8, 2012. Proceedings",2012,Springer,db/conf/ic3/ic3-2012.html,proceedings
conf/ipom/2007,978-3-540-75852-5,"IP Operations and Management, 7th IEEE International Workshop, IPOM 2007, San José, USA, October 31 - November 2, 2007, Proceedings",2007,Springer,db/conf/ipom/ipom2007.html,proceedings
conf/icann/2010-3,http://dx.doi.org/10.1007/978-3-642-15825-4,"Artificial Neural Networks - ICANN 2010 - 20th International Conference, Thessaloniki, Greece, September 15-18, 2010, Proceedings, Part III",2010,Springer,db/conf/icann/icann2010-3.html,proceedings
