conf/er/CastanoAP93,Reuse of Object-Oriented Requirements Specifications.,Silvana Castano,Valeria De Antonellis,Pierluigi San Pietro,STOP1,books/bc/Booch90,conf/er/CastanoAZ92,conf/er/CastanoAP93,journals/is/AntonellisCV94,journals/toplas/MorzentiMG92,conf/vldb/LiuM92,journals/cacm/MaidenS92,conf/ecoop/MorzentiP91,journals/tse/ReubensteinW91,journals/ipm/SaltonB88
conf/islped/MenonNM03,Multivoltage scheduling with voltage-partitioned variable storage.,Amitabh Menon,S. K. Nandy,Mahesh Mehendale,STOP1
conf/coopis/AalstBEW00,Workflow Modeling Using Proclets.,Wil M. P. van der Aalst,Paulo Barthelmess,Clarence A. Ellis,Jacques Wainer,STOP1,conf/apn/Aalst97,journals/jiis/AdamAH98,conf/er/CasatiCPP95,journals/cn/ChangS96,journals/dpd/GeorgakopoulosHS95,conf/icdcs/HagenA99,journals/jiis/ReichertD98,journals/ieeecc/ShethAA99,conf/atal/VerharenDB97
conf/icara/SternRKK11,Towards using virtual forces for image registration.,Claudius Stern,Christoph Rasche,Lisa Kleinjohann,Bernd Kleinjohann,STOP1
conf/chi/MacKayW09,Building support for multi-session tasks.,Bonnie MacKay,Carolyn R. Watters,STOP1
conf/coopis/TammG00,A Framework for ASP-Marketplaces.,Gerrit Tamm,Oliver Günther,STOP1,conf/sigecom/JacobsenG99,conf/fdbs/TammG99
conf/adbis/Manthey94,Active and Passive Rules in Database Systems: How Do They Relate? (Invited Paper).,Rainer Manthey,STOP1,journals/sigmod/Sellis89,conf/lpar/BryMM91,journals/tkde/CeriGT89,books/sp/CeriGT90,conf/ewdw/CeriM94,conf/vldb/CeriW90,conf/vldb/CeriW91,journals/is/CeriW94,books/sp/Lloyd87,journals/jlp/Minker88
conf/softvis/BurchDW05,Visual data mining in software archives.,Michael Burch,Stephan Diehl,Peter Weißgerber,STOP1
conf/isbms/VogtLBPCPF06,Efficient 3D Finite Element Modeling of a Muscle-Activated Tongue.,Florian Vogt,John E. Lloyd,Stéphanie Buchaillard,Pascal Perrier,Matthieu Chabanas,Yohan Payan,Sidney Fels,STOP1
conf/dasfaa/KasaharaK89,Navigation in the Visual Information Database World.,Hisashi Kasahara,Tomio Kishimoto,STOP1,journals/computer/ChristodoulakisF86,conf/sigmod/Fogg84,journals/tods/Herot80,journals/computer/Larson86,conf/sigmod/WoelkKL86
conf/dcoss/PottnerWCFSSSGCZOMBROSHVJ11,WSN evaluation in industrial environments first results and lessons learned.,Wolf-Bastian Pöttner,Lars C. Wolf,José Cecílio,Pedro Furtado,Ricardo Silva,Jorge Sá Silva,Amâncio Santos,Paulo Gil,Alberto Cardoso,Zinon Zinonos,Jose Manuel do Ó,Ben McCarthy,James Brown,Utz Roedig,"Tony O'Donovan",Cormac J. Sreenan,Zhitao He,Thiemo Voigt,Anja Jugel,STOP1
