conf/fdl/2012,conf/fdl/SteinhorstH12
conf/deductive/1990,conf/deductive/TsurON90
conf/new2an/2014,conf/new2an/GelgorPFGPL14
conf/sigir/89,conf/sigir/Waltz89
conf/itng/2009,conf/itng/ChaudharyGD09
conf/eurogp/2004,conf/eurogp/WangS04
conf/ideal/2007,conf/ideal/Carro-CalvoSGPR07
conf/cvpr/2007,conf/cvpr/YuB07
conf/softvis/2003,conf/softvis/RuthruffCBCPFM03
journals/sigpro,journals/sigpro/ZengRWMD14
conf/interact/2007-2,conf/interact/Bim07
conf/vissoft/2011,conf/vissoft/NovaisLCPM11
conf/im/2011,conf/im/AmmalA11
conf/pimrc/2009,conf/pimrc/WangPMS09a
conf/icmcs/2000,conf/icmcs/Ghaemmaghami00
conf/pimrc/2013,conf/pimrc/ShoaibS13
conf/mfcs/1976,conf/mfcs/Smyth76
conf/cikm/97,conf/cikm/MehrotraHK97
conf/aaai/2008,conf/aaai/WintermuteL08
conf/soda/2003,conf/soda/BollobasBCR03
conf/wcnc/2013,conf/wcnc/SarkarR13
conf/apvis/2014,conf/apvis/AmanIA14
conf/globecom/2010,conf/globecom/GranjalMS10
conf/icfp/2014,conf/icfp/McBride14
conf/isips/2008,conf/isips/ThomasSBAX08
conf/sigmod/93,conf/sigmod/ShethK93
journals/tods,journals/tods/Chen76
conf/icml/1995,conf/icml/Cussens95
conf/deductive/1992,conf/deductive/KhandakerFM92
conf/apsec/2008,conf/apsec/ZhangLSS08
conf/cec/2005,conf/cec/GustafsonBK05
conf/dood/1995,conf/dood/KempRS95
conf/ieaaie/2012,conf/ieaaie/BosseLMT12
conf/ccs/2014,conf/ccs/PengLWTL14
conf/aisc/1994,conf/aisc/Jumpertz94
conf/spatialCognition/2012,conf/spatialCognition/Emo12
conf/sigmod/81,conf/sigmod/MotroB81
conf/fccm/2012,conf/fccm/KesturPSDNCK12
conf/iclp/1982,conf/iclp/Shapiro82
conf/www/2014c,conf/www/SusumpowPSC14
journals/bmcbi,journals/bmcbi/HeinrichVBJWN12
conf/icdm/2003,conf/icdm/KubicaMS03
conf/fse/2011,conf/fse/Meier11
conf/popl/1980,conf/popl/BuddDLS80
conf/glvlsi/2014,conf/glvlsi/LahiouelAZT14
conf/ids/1994,conf/ids/Machura94
conf/graphicsinterface/2014,conf/graphicsinterface/WangZGNR14
conf/dawak/2000,conf/dawak/MercyS00
conf/aime/2005,conf/aime/PellegrinBAAMC05
conf/ro-man/2007,conf/ro-man/HashimotoHTK07
journals/ibmrd,journals/ibmrd/Allen81
conf/sefm/2014w,conf/sefm/MikulskiNPS14
conf/lcn/1988,conf/lcn/AlbaneseS88
conf/cccg/2007,conf/cccg/MahapatraGD07
conf/aspdac/1999,conf/aspdac/KimHLJ99
conf/aina/2004,conf/aina/WangLCW04
conf/fnms/2013,conf/fnms/Hugues-SalasZGWT13
conf/graphicsinterface/1999,conf/graphicsinterface/Dischler99
journals/mms,journals/mms/AgostiMC95
conf/icalp/1991,conf/icalp/CuckerT91
journals/tvcg,journals/tvcg/KeefeERC09
conf/imaging/1999,conf/imaging/Olson99
conf/vldb/2000,conf/vldb/Nori00
conf/semweb/2007sww2,conf/semweb/Takeda07
conf/lcc/1994,conf/lcc/MakowskyP94
conf/ichit/2012-1,conf/ichit/TuanYKJJR12
conf/pepm/1997,conf/pepm/EtalleGM97
conf/adbis/99s,conf/adbis/Liu99
conf/ccgrid/2013,conf/ccgrid/Ashraf13
