123/3172,conf/mum/BrollCEHJKLS12
60/397,journals/constraints/Olivier98
77/4357,conf/icnp/TuSCMJ08
38/2557,conf/vtc/HarashimaYH12
r/GrzegorzRozenberg,conf/icalp/Rozenberg79
82/6909,conf/kr/HorridgeP10
c/DiegoCalvanese,conf/ijcai/CalvaneseGL99
11/1837,conf/islped/OkumaCMY02
10/576,conf/cscw/Bharwani96
71/6759,conf/npar/OrchardK08
15/4504,conf/icse/WuWCZL06
n/CharlesDHansen,conf/dagstuhl/LivnatHJ03
m/ShinichiMorishita,conf/vldb/FukudaMMT96
h/RichardCHolt,journals/sigsoft/DiehlHH05
49/10735,conf/apchi/BasuKRB13
97/274,conf/ershov/CheblakovDLPZ99
03/10735,conf/gis/EfentakisGLMP13
55/4264,conf/sbm/DelameLCB11
57/6376,conf/icde/BelfordLHHKKKLMNNQRYZ86
43/401,conf/cec/WapplerW06
k/KatherineJKuchenbecker,conf/haptics/FieneKN06
04/2166,conf/digitalCities/LuffJ98
79/5821,conf/lcn/TranT05
g/MatthewLGinsberg,journals/ai/GinsbergS88
32/2948,conf/cso/LiuLG09
10/155,conf/iccd/ShimizuIIGT05
88/3734,conf/cgim/KangKK03
83/334,conf/ht/CasanovaTLNRS91
70/2173,conf/globecom/YaoWSJLZ12
b/DSBatory,conf/vldb/BatoryB84
j/ClintonLJeffery,conf/paste/JefferyZTB98
00/3010,conf/wscg/MokhtariLBODLA04
g/MatthewLGinsberg,journals/ai/Ginsberg89
131/6600,conf/mobiarch/SirisK12
57/4487,conf/chi/Brouwer-JanseBENSG92
s/VugranamCSreedhar,conf/oopsla/ChoiGSSM99
33/8115,conf/cisse/ArnoldiIPVCR08
31/7048,conf/hais/BerzosaVSTC11
53/358,conf/icse/KeaneH94
25/904,conf/lcn/AnderssonAGC08
s/LawrenceVSaxton,journals/tkde/SaxtonR90
53/306,conf/pldi/ErnstEFLP97
k/DanielAKeim,journals/vlc/AndrienkoABKKW11
53/4150,conf/dbsec/SchaeferMKL95
88/1533,conf/ijcai/Vilain85
78/6495,conf/pldi/ArnoldR01
k/DeepakKapur,conf/fsttcs/KapurSZ90
26/6860,conf/ifipPACT/AlbonesiK94
g/GarthAGibson,conf/osdi/KimbrelTPBCFGKL96
69/499,journals/cj/Joseph70
54/10119,conf/vinci/GuoLYM14
95/7777,conf/case/ChenLHLTCC14
88/3660,conf/oopsla/PenneyS87
88/359,conf/ecai/PicardiBCCDMRSV02
t/YuzuruTanaka,conf/vdb/NagasakaT91
48/1070,conf/dis/BifetG06
p/HanspeterPfister,journals/cse/SilvaEPC10
c/DDChamberlin,conf/sigmod/AstrahanC75
88/8117,conf/music/MaSWWYZH12
o/DanielOblinger,conf/aaai/CastelliBO07
50/4765,conf/aaai/MorrisN86
d/DumitruDumitrescu,conf/cec/IclanzanHCD09
67/1220,journals/dcc/PaulRM08
74/1450,conf/psivt/TsaiL09
f/PeterFankhauser,conf/ds/FankhauserN92
93/5894,journals/aim/AhaBBGDEGGGHIJKKKLMMNPRRRRSSSTMHMN10
92/7047,journals/iet-com/RomeroMBMA12
15/312,conf/esa/EpsteinK08
39/6017,conf/sca/SanokhoDMLC14
l/KJLange,conf/fsttcs/LangeN93
92/6866,conf/gecco/ZhangBG12
l/JWLloyd,journals/tods/RamamohanaraoL83
f/MFink,conf/kr/Fink12
95/7343,conf/pdp/PaganelliWW93
93/5103,conf/iswc/Martin08
a/AVAho,conf/stoc/AhoJ75
63/5157,conf/cade/BrownPP88
29/1895,conf/chi/KumarRAWKLHL10
b/LubomirBic,journals/toplas/BicL87
77/2314,conf/iui/LiuM04
90/4470,conf/iknow/0004A11
99/4535,conf/indocrypt/BanikCC14
l/BruceGLindsay1,conf/vldb/BertinoHL83
01/7561,conf/acmidc/BonsignoreHKVAD13
b/ElisaBertino,books/aw/BertinoM93
d/DJDeWitt,journals/sigmod/DeWittG90
d/JacodeBakker,conf/mfcs/Bakker77
63/6278,journals/ibmsj/SenkoAAF73
02/6844,conf/isip/JiangHZC08
53/8568,conf/cec/LiaoCT14
10/3647,conf/vdb/StandingR95
44/8940,journals/ijdc/BallPMGCC06
s/AlbrechtSchmidt1,conf/mc/SchneegassPDS13
19/1046,journals/corr/abs-1208-5554
r/EMRiseman,conf/aaai/WeymouthGHR83
84/4108,conf/aina/GohT06
19/4338,journals/jors/StoeanPSED09
02/2039,conf/pkdd/ZhangWCLL12
69/9545,conf/chi/NowackaLHJLRO13
00/505,journals/taco/IpekMSCSS08
17/8381,conf/iv/DossHSSKCST10
b/RudolfBayer,conf/icde/GuntzerKB87
b/CBeeri,conf/coopis/DogacTTETHIB00
73/5072,conf/cimaging/WohlbergT10
m/StanMatwin,conf/cade/MatwinP82
156/2852,conf/mig/RashidianPE14
118/4808,journals/corr/abs-1207-1271
97/896,conf/icra/ParkPM14
04/5537,conf/hicss/Boyer-WrightK08
m/AOMendelzon,conf/dolap/HurtadoMV99
31/589,journals/ijig/GeSPKGJ08
54/3582,conf/interact/SauerBHMPB11
09/5886,conf/hais/BankovicRBMFVAMGVN10
84/5778,conf/ami/KrayLOBBFJKLMa07
g/MichaelGertz,conf/tdb/GertzL95
35/1787,conf/alpit/WangZZ08
81/363,conf/chi/CrabtreeBRGFADARTS04
67/1324,conf/percom/JungLCCG07
s/ArieShoshani,conf/er/Shoshani79
48/9428,conf/iscas/ParkYMJC12
23/4731,conf/cscw/MoranCHKMM96
64/6421,conf/apgv/CaseyPCL10
99/1793,conf/grc/XinyuanQQ05
20/3825,conf/icc/FanWL09
s/DanSuciu,conf/sigmod/FernandezFKLS97
09/3493,journals/bmcbi/LinWXC10
s/DanSuciu,conf/sigmod/FernandezFKLS98
h/ThomasHerrmann,conf/mc/KsollPRHM14
51/9892,conf/esa/SalzmanHRH11
n/SKNandy,journals/sigpro/RamanathanVN99
58/1964,conf/gecco/XuPYF13
95/6172,conf/nordichi/KruschitzH10
62/1490,conf/hci/PohlSKAM14
86/8242,conf/apvis/CrouserFWC13
92/6489,conf/tdb/CliffordJSBDS95
46/821,conf/dasfaa/LingTY93
54/5415,conf/gi/NeusSG05
155/5193,conf/vtc/GanteGDSC14
08/5906,conf/vldb/FlodinR95
50/4810,journals/cacm/BlairM85
33/4608,conf/icassp/RontogiannisT95
130/6491,conf/adhoc-now/Carr-MotyckovaD13
42/7075,conf/ipps/CrainicCGLR09
68/5970,conf/ondm/TakitaHTKNZWKPS14
81/2837,conf/csiirw/BentonJK11
d/DJDeWitt,journals/tse/HawthornD82
61/9545,journals/tochi/ChuaZHZGS15
m/SharadMehrotra,conf/icde/ArefBJM95
b/ElisaBertino,conf/ssd/BelussiBC97
73/6316,conf/amast/GrundyL97
04/3354,conf/kr/GrastienHT12
28/1801,journals/gpem/ONeillRKC03
29/4638,journals/tcsv/LuoCP96
t/JamesJThomas,conf/infovis/WongMPEFT05
l/MironLivny,journals/rts/HaritsaCL92
t/LotharThiele,conf/ispa/SchorBMPRABFLRTTVW14
04/2457,conf/sca/FaureBAF08
04/4211,conf/ride/Garcia-SolacoCS93
h/UdoHahn,conf/ecai/HahnMS96
87/2457,conf/icde/HatonenKMRT96
h/PeterHoneyman,conf/hpdc/HildebrandH07
82/451,conf/sg/FonsecaBRJ04
25/4264,conf/adbis/NekrestyanovNP98
c/KSelcukCandan,conf/sigmod/AdaliCPS96
79/5323,conf/ride/Smith94
41/5312,conf/isscc/CasterGPWCH13
96/5944,journals/computer/RibarskyAEM94
h/MasamiHagiya,conf/tacs/Hagiya91
08/4955,conf/bibm/LiGJPHL12
k/GregorKiczales,conf/icse/Kiczales05
97/5771,journals/sigmod/ShethGJRSWW96
53/5403,conf/edbt/LitwinZL88
s/GerardSalton,journals/ipm/SaltonB88
10/1929,conf/vldb/MorimotoIM97
30/1628,conf/edbt/MohanHWC90
p/ChristofPaar,conf/fdtc/Lemke-RustP06
u/ASimaEtanerUyar,conf/evoW/AkyaziE10
53/8854,conf/ipccc/SeddikiNSF13
56/4964,conf/chi/LightWDM05
90/4955,conf/vr/PrachyabruedB14
157/7684,journals/sigpro/ZengRWMD14
l/EvelinaLamma,conf/europar/LammaMSH97
82/2289,conf/hci/HilligesKPBK07
66/2108,journals/dafes/VaupelLDJBMFMK98
95/3763,conf/ds/Brodie92
97/9922,conf/ieeevast/ZiemkiewiczFGMP14
a/GennadyLAndrienko,journals/jlbs/AndrienkoABBKLPS10
f/SidneyFels,conf/chi/TangGF09
b/AndreasButz,conf/iui/KrugerBMSWSD04
07/1994,conf/si3d/GortlerC95
14/7434,conf/arc/AlachiotisS11
95/3763,conf/db-workshops/Islamorada
55/1550,journals/tkde/GanizGP11
06/3501,conf/vtc/KlehmetHHG08
15/1039,conf/iros/WangHK05
48/1075,conf/icdcs/KlappholzLWBO85
46/137,journals/ijcgt/AryaDP09
60/397,conf/chi/HookMWO13
d/DumitruDumitrescu,conf/nicso/LungMD11
55/3626,conf/apgv/TrutoiuMMF07
g/PaulWPJGrefen,journals/dke/GrefenA93
g/GiovannaGuerrini,conf/dexaw/CastangiaGMR95
98/3666,conf/iccs/BiebowC93
41/446,conf/um/MustoNLSGBKPC12
13/715,conf/ride/AlbertAKKS93
96/6170,conf/cscw/CarlettiCCGGSSS14
f/PieroFraternali,conf/rules/FraternaliP93
99/7434,conf/icc/XuDDKV12
26/6590,conf/dl/DewanJSSO95
51/2655,conf/vtc/LertwiramTSA12
y/ClementTYu,conf/icdcs/LiuY92
35/4064,conf/ifip13/LustigovaDC10
63/5919,conf/icdt/OommenH86
27/221,journals/thipeac/HuJK09
n/MauroNegri,journals/tods/NegriP91
61/7036,conf/icalp/BookLT90
s/CJSreenan,conf/ccgrid/TraceyS13
23/3454,conf/chimit/BloomC09
54/6519,conf/gecco/SakumaK00
86/3424,conf/icc/ChakrabartiM03
h/JeffreyKHollingsworth,conf/icdcs/HollingsworthM99
145/9700,conf/ic-nc/FujisakiHAFUASS13
58/6348,conf/sigmod/GoldmanGKZ85
94/4074,journals/ki/KruppaHK05
63/2005,conf/icml/BahamondeBDQLCAG04
12/6764,conf/dl/AlspectorKK98
p/JohnLPfaltz,conf/gg/Pfaltz78
p/GPiatetskyShapiro,conf/kdd/MatheusPM94
68/550,conf/dasfaa/KitakamiMAS97
81/4794,conf/icmcs/MullisAMWM95
81/9125,conf/icdcit/PandaSB12
150/5616,conf/vtc/PedrosaDNR14
94/503,conf/ht/BurgerMJL91
v/VictorVianu,conf/stoc/AbiteboulV91
91/6399,conf/grc/ChenHTC08
43/7183,conf/gecco/LaraSC10
40/4895,journals/sigmod/DayalBBCHLMRSCLJ88
94/6719,journals/tse/BershadCLSS87
84/11054,conf/eoolt/PepperMHS11
20/4118,journals/comcom/MarchettiF10
a/TilakAgerwala,journals/ibmsj/AgerwalaMMSDS95
z/DanielaZaharie,conf/gecco/ZaharieMN13
98/589,conf/pods/HaasNSS93
03/6466,conf/dasfaa/KajimotoN91
90/4470,conf/avi/FedericoAMWS12
115/6256,conf/ppsn/NebroDCLA08
b/JamesBailey,conf/rules/BaileyGKKR95
32/4302,conf/er/AntonellisAMZ79
98/4156,conf/apweb/YuJ07
74/138,journals/tois/AuramakiLL88
79/2268,conf/ecai/HornPMS02
17/1744,conf/cscw/MarkHS96
g/JohnVGuttag,journals/cacm/GuttagHM78
66/4324,conf/icccn/SisodiaGDD00
20/4118,journals/wpc/CorneanKM11
k/DanielAKeim,journals/sigkdd/EickK02
d/GerardDuchamp,conf/icalp/DuchampK91
84/1348,conf/icc/Lozano08
08/5313,conf/iui/XiangS06
22/9795,conf/icalp/CominettiCL11
70/4435,conf/simvis/HartmannKSH99
64/6544,conf/vinci/ZhangZFGH11
s/ChrisShaw2,conf/vissym/HongJSRBS05
54/3448,conf/conielecomp/Galvan-TejadaGB14
c/MicheleColajanni,conf/icas/CasolariCT09
05/5006,conf/aime/WenzinaK13
28/493,conf/ecoop/BriggsW94
11/4906,conf/ssdbm/ChanEGHKMMOSW83
46/6715,conf/pldi/BernsteinGGKMNP89
56/3387,conf/er/ChungNC81
16/662,conf/vldb/BernsteinBC80
77/3755,conf/ispacs/HaradaMAUT13
f/CFaloutsos,conf/cikm/KamelF93
c/LConsole,conf/ecai/PicardiBCCDMRSV02
00/7247,conf/kbse/ManganoBDNH10
65/2401,journals/jstsp/ZhuBWKBED10
56/1907,conf/isvc/StottingerDSH08
29/2151,conf/glvlsi/DellBB07
l/MLenzerini,conf/er/AtzeniBLV81
35/3666,conf/wfe/BrescianiRT89
82/2995,conf/cf/FranciaPPV04
132/2082,conf/gecco/AbraoWA13
10/239,conf/ieeevast/ZhangABXZSCEGXY14
25/6395,conf/ecai/HertzbergJS02
99/9239,conf/vlsi/SpignaSJMF12
38/9883,conf/gecco/PortaPTDRSSBC11
11/1898,journals/cg/EbertRSPKR00
65/2401,conf/infovis/RohrerSE98
46/6587,conf/sec/FodilJ04
56/7215,conf/chi/DruinFHGH10
98/4297,conf/er/FurtadoVC81
33/11180,conf/csmr/DavisGHMM12
63/2645,conf/ecai/JohanssonWN04
42/3495,conf/vldb/Deen82
53/10398,conf/chi/SwaminathanSJDOF14a
06/3694,conf/er/SernadasS85
19/6819,conf/pods/MalmiS99
94/8512,conf/vtc/ChernogorovTRA11
75/3273,conf/huc/ArentzB11
13/1615,journals/tse/ChangYDA88
38/2497,conf/iswcs/SarrebourseLHDAATW14
44/5557,conf/iccd/QiangCSA05
10/1374,conf/icc/JinXC07
f/CFaloutsos,conf/sdm/AppelCFKLT09
l/FrankLeymann,journals/ibmsj/LeymannA94
65/3216,conf/iui/DobreaT04
150/8163,conf/prib/AlborziMFRZ14
56/2341,conf/ideal/RatleKTER07
83/4509,journals/ijinfoman/LoweMC04
34/463,journals/cmpb/LeeLH14
12/914,conf/acity/RajalakshmiM12
08/6719,conf/gi/BockingMKM05
s/LynnAndreaStein,conf/cikm/SpertusS98
g/HGarciaMolina,conf/sigmod/DayalGHKS93
99/4054,conf/dasfaa/KambayashiT91
26/9541,conf/chi/BillmanAFLST11
d/LindaDoyle,conf/mascots/DoyleFD06
65/978,conf/pods/KorthKNR83
88/5785,conf/robio/ChenZCL13
20/507,conf/iccsa/PhanBK07
s/FereidoonSadri,conf/ismis/JamilS94
l/MingluLi,conf/IEEEscc/HuangHCL04
38/3595,journals/jms/SrivastavaAKM15
58/5735,conf/policy/MarchiPP07
95/3246,conf/ride/BukhresCCELZ92
09/3921,conf/icse/ChuangKW98
30/6467,conf/uist/JonesSMMBWOMRS14
d/LKDillon,conf/sigsoft/DillonY94
f/JoaoMFernandes,conf/ifip10-3/TjellF08
v/VictorVianu,conf/lics/AbiteboulV89
64/4136,conf/cec/TangLOS07
66/2571,conf/dasfaa/GrecoPS95
88/5445,conf/hci/LiWZYHZ13
47/910,conf/isqed/WangDMGC12
12/3248,journals/chb/TorresPT13
e/MJEgenhofer,conf/ssd/Egenhofer91
15/6945,journals/ipm/AlvarezP98
02/5996,conf/ppopp/BorattoAGBO13
42/2356,conf/cbms/LuneskiB07
r/KRamamohanarao,journals/tods/RamamohanaraoS84
58/7215,conf/um/MustoNLSGBKPC12
12/1034,conf/mobiarch/CostaMMZ12
135/7698,conf/digra/CarrollC05
88/5469,conf/alp/Dayantis88
b/ElisaBertino,conf/parma/BertinoCM04
58/7639,conf/icse/Choudhary14
35/10609,conf/vtc/GuLZ11
140/8133,conf/siggraph/UeharaM14
136/3735,conf/ialp/Al-ThubaityKAA14
b/SSBhowmick,conf/er/BhowmickMNL98
92/7047,journals/isci/BankovicFMVMAGRBVN13
25/9979,conf/fdtc/KumarJBP14
13/310,conf/infovis/Chi00
71/5735,conf/ppopp/KaleemPP15
b/MichaelBurch,conf/giscience/BurchKW14
31/7114,conf/cec/GreenwoodC11
38/7143,journals/mca/TinkaWPB11
28/4692,conf/icip/AshtonPBC95
b/ElisaBertino,conf/sigmod/BettiniWBJ95
52/2154,conf/kbse/ManganoBDNH10
54/3140,conf/percom/BicocchiLZ12
e/SMEasterbrook,conf/icse/PerrySE06
66/6340,conf/icde/MengYKWPD93
43/2165,conf/cp/KuPB14
135/5939,conf/ismvl/DasCBS14
79/4270,conf/oopsla/YaseenSL91
23/4029,conf/ssdbm/ZeebergWGOKM98
37/5523,conf/dasip/BerderSLFPBATJBDBBBBCB12
g/JeanHGallier,conf/cade/GallierNPRS88
b/DavidABell,journals/cj/Bell84
22/6227,journals/ibmsj/Zachman87
23/7017,conf/kr/Ghallab96
57/5443,conf/ancs/RoyLGYH13
43/5804,conf/dasfaa/DoD95
m/BertrandMeyer,books/ph/Meyer97
l/PerditaLohr,conf/ewdw/EngelL94
