journals/dss/LauLSK08,article,Knowledge discovery for adaptive negotiation agents in e-marketplaces.,,2008,45,310-323,,db/journals/dss/dss45.html#LauLSK08,Decision Support Systems,
conf/isi/MajumdarT05,inproceedings,On the Use of Opaque Predicates in Mobile Agent Code Obfuscation.,ISI,2005,,648-649,,db/conf/isi/isi2005.html#MajumdarT05,,
conf/icoin/Liu01,inproceedings,Gathering Middleware Requirements.,ICOIN,2001,,81-86,,db/conf/icoin/icoin2001.html#Liu01,,
conf/nips/SabatoM14,inproceedings,Active Regression by Stratification.,NIPS,2014,,469-477,,db/conf/nips/nips2014.html#SabatoM14,,
conf/chi/TaylorMBMREFWO12,inproceedings,Viewpoint: empowering communities with situated voting devices.,CHI,2012,,1361-1370,,db/conf/chi/chi2012.html#TaylorMBMREFWO12,,
conf/nips/DhillonLFU13,inproceedings,New Subsampling Algorithms for Fast Least Squares Regression.,NIPS,2013,,360-368,,db/conf/nips/nips2013.html#DhillonLFU13,,
journals/artmed/HommersomL13,article,Probabilistic problem solving in biomedicine.,,2013,57,169-170,,db/journals/artmed/artmed57.html#HommersomL13,Artificial Intelligence in Medicine,
conf/infovis/Mackinlay00,inproceedings,"Presentation, Visualization, What's Next?",INFOVIS,2000,,1,,db/conf/infovis/infovis2000.html#Mackinlay00,,
conf/miccai/BaiKS07,inproceedings,Effectiveness of the Finite Impulse Response Model in Content-Based fMRI Image Retrieval.,MICCAI (2),2007,,742-750,,db/conf/miccai/miccai2007-2.html#BaiKS07,,
conf/icassp/Fernandez-MartinezFCMSP09,inproceedings,A Bayesian NETWORKS approach for dialog modeling: The fusion BN.,ICASSP,2009,,4789-4792,,db/conf/icassp/icassp2009.html#Fernandez-MartinezFCMSP09,,
conf/smc/ZhangCYW13,inproceedings,"Research on the Application of Multi-model Predictive Control in Coordinated Control of 1, 000 MW Ultra-supercritical Unit.",SMC,2013,,4511-4515,,db/conf/smc/smc2013.html#ZhangCYW13,,
journals/corr/LuoS14,article,An FPGA-based Parallel Architecture for Face Detection using Mixed Color Models.,,2014,abs/1405.7032,,,db/journals/corr/corr1405.html#LuoS14,CoRR,
journals/dm/HuangMW01,article,Pushing the cycles out of multipartite tournaments.,,2001,231,279-287,,db/journals/dm/dm231.html#HuangMW01,Discrete Mathematics,
journals/apin/LiuMF13a,article,Storing and querying fuzzy XML data in relational databases.,,2013,39,386-396,,db/journals/apin/apin39.html#LiuMF13a,Appl. Intell.,
conf/ieaaie/HollandOO04,inproceedings,Supporting Constraint-Aided Conceptual Design from First Principles in Autodesk Inventor.,IEA/AIE,2004,,905-914,,db/conf/ieaaie/ieaaie2004.html#HollandOO04,,
journals/bmcbi/ZhaoYLCL06,article,Hierarchical modularity of nested bow-ties in metabolic networks.,,2006,7,386,,db/journals/bmcbi/bmcbi7.html#ZhaoYLCL06,BMC Bioinformatics,
conf/mc/EisendleSGB07,inproceedings,"Design and Evaluation of an Interactive Children's Book.",Mensch & Computer,2007,,169-178,,db/conf/mc/mc2007.html#EisendleSGB07,,
journals/heuristics/GutinGH08,article,"Worst case analysis of Max-Regret, Greedy and other heuristics for Multidimensional Assignment and Traveling Salesman Problems.",,2008,14,169-181,,db/journals/heuristics/heuristics14.html#GutinGH08,J. Heuristics,
conf/nips/McMahanA13,inproceedings,Minimax Optimal Algorithms for Unconstrained Linear Optimization.,NIPS,2013,,2724-2732,,db/conf/nips/nips2013.html#McMahanA13,,
journals/fss/MaF03,article,An approach to H[infin] control of fuzzy dynamic systems.,,2003,137,367-386,,db/journals/fss/fss137.html#MaF03,Fuzzy Sets and Systems,
conf/mm/XuJYHYL11,inproceedings,Random partial paired comparison for subjective video quality assessment via hodgerank.,ACM Multimedia,2011,,393-402,,db/conf/mm/mm2011.html#XuJYHYL11,,
conf/music/Zhang13,inproceedings,The Study on Semantic Self-sufficiency in Factual Knowledge Extraction.,MUSIC,2013,,205-209,,db/conf/music/music2013.html#Zhang13,,
