conf/adbis/WojciechowskiZ98,journals/cacm/FayyadPS96
conf/adbis/SalzaR97,journals/csur/Graefe93
conf/er/AckleyCSTTTZ90,books/cs/Ullman89
conf/er/Chen81,conf/ds/Abrial74
conf/dl/WuL97,conf/usenix/ManberW94
conf/er/BhowmickNL98,conf/dexa/BhowmickNLM98
conf/er/Brown91,conf/oopsla/Cointe87
conf/cikm/TangV95,books/mk/Elmagarmid92
conf/adbis/CremersBR94,journals/cacm/StonebrakerK91
conf/dbpl/MatthesS91,conf/dbpl/AlbanoDGMMOS89
conf/adbis/DobrovnikE94,conf/vldb/Rundensteiner92
conf/coopis/Theodoratos00,conf/views/Quass96
conf/er/Baraani-DastjerdiPSG95,conf/stoc/NaorY89
conf/er/BouneffaB95,conf/oopsla/PenneyS87
conf/coopis/PereiraFLS00,conf/icdcs/BanavarCMNSS99
conf/adbis/NelsonR95,journals/tods/SmithS77
conf/adbis/MorzyWZ99,conf/sigmod/GuhaRS98
conf/dasfaa/KangS91,conf/sosp/Gifford79
conf/dbpl/Hidders95,journals/tods/KuperV93
conf/cikm/Tammet95,conf/aaai/KaczmarekBR86
conf/dasfaa/LimN99,conf/cikm/Widom95
conf/dasfaa/BertinoCC99,conf/sigmod/Guttman84
conf/adbis/BiscondiFB96,conf/vldb/DeWittG85
conf/cikm/IkejiF95,journals/jacm/Tay93
conf/cikm/LiR95,journals/tods/Babb79
conf/dasfaa/WangOS99,books/aw/Knuth73
conf/cikm/ChangLL95,conf/vdb/NagasakaT91
conf/dasfaa/LeeKLL93,journals/is/WongL90
conf/dasfaa/VermeerA95,journals/dke/ChiangBS94
conf/edbt/ChimentiGK90,conf/edbt/KrishnamurthyZ88
conf/edbt/LiuL00,conf/icdt/BunemanDFS97
conf/adbis/Chen97,journals/jlp/BeeriR91
conf/er/DCunhaR83,conf/ifip/Bubenko80
conf/er/Dupont94,journals/tkde/DeMichiel89
conf/er/FlynnJ94,journals/is/Barros87
conf/dasfaa/KempCHHRS97,conf/slp/KempRBM89
books/sp/patton99/PatonDW99,books/mk/widomC96/CeriFPT96
conf/dasfaa/Yu99,journals/cacm/BalabanovicS97
conf/edbt/LeeL98,conf/ride/KaradimceU94
conf/edbt/SaccaVV92,conf/mfdbs/LaenensV91
books/crc/CRCcompiler2002/MundGM02,journals/toplas/BergerettiC85
conf/dasfaa/GardarinY95,journals/cacm/Halasz88
conf/er/CastanoA99,journals/debu/AbiteboulCMMSZ99
conf/er/CasatiCPP95,conf/vldb/AnsariNRS92
conf/er/GalE95,conf/oodbs/HudsonK86
conf/dasfaa/Bocca91,conf/iclp/Bruynooghe82
conf/dbpl/CadoliPL97,journals/jair/BuchheitDS93
conf/edbt/RabittiS90,conf/sigir/MorrisseyR87
