journals/imds,Industrial Management and Data Systems
journals/nc,Natural Computing
conf/ride/93,"RIDE-IMS '93, Thirst International Workshop on Research Issues in Data Engineering: Interoperability in Multidatabase Systems, Vienna, Austria, April 19-20, 1993",,1993,,IEEE Computer Society,db/conf/ride/ride93.html
conf/sigplan/1986,"Proceedings of the 1986 SIGPLAN Symposium on Compiler Construction, Palo Alto, California, USA, June 25-27, 1986",SIGPLAN Symposium on Compiler Construction,1986,,ACM,db/conf/sigplan/sigplan1986.html
journals/tim,IEEE T. Instrumentation and Measurement
conf/c++/1987,"Proceedings of the C++ Workshop. Santa Fe, NM, USA, November 1987",C++,1987,,USENIX Association,db/conf/c++/c++87.html
conf/cpm/1998,"Combinatorial Pattern Matching, 9th Annual Symposium, CPM 98, Piscataway, New Jersey, USA, July 20-22, 1998, Proceedings",CPM,1998,1448,Springer,db/conf/cpm/cpm98.html
journals/phycomm,Physical Communication
conf/ssdbm/97,"Ninth International Conference on Scientific and Statistical Database Management, Proceedings, August 11-13, 1997, Olympia, Washington, USA",,1997,,IEEE Computer Society,db/conf/ssdbm/ssdbm97.html
conf/issac/1988,"Symbolic and Algebraic Computation, International Symposium ISSAC'88, Rome, Italy, July 4-8, 1988, Proceedings",ISSAC,1989,358,Springer,db/conf/issac/issac88.html
conf/compgeom/1989,"Proceedings of the Fifth Annual Symposium on Computational Geometry, Saarbrücken, Germany, June 5-7, 1989",Symposium on Computational Geometry,1989,,ACM,db/conf/compgeom/compgeom89.html
conf/mmb/1983,"Messung, Modellierung und Bewertung von Rechensystemen, 2. GI/NTG-Fachtagung, Stuttgart, 21.-23. Februar 1983",MMB,1983,61,Springer,db/conf/mmb/mmb83.html
journals/ijon,Neurocomputing
conf/visualization/1998,"Visualization '98, Proceedings, October 18-23, 1998, Research Triangle Park, North Carolina, USA.",IEEE Visualization,1998,,IEEE Computer Society and ACM,db/conf/visualization/visualization1998.html
conf/ifip/1986ape,"Advanced Programming Environments, Proceedings of an International Workshop, Trondheim, Norway, June 16-18, 1986",Advanced Programming Environments,1986,244,Springer,db/conf/ifip/ape86.html
conf/esop/2001,"Programming Languages and Systems, 10th European Symposium on Programming, ESOP 2001 Held as Part of the Joint European Conferences on Theory and Practice of Software, ETAPS 2001 Genova, Italy, April 2-6, 2001, Proceedings",ESOP,2001,2028,Springer,db/conf/esop/esop2001.html
conf/slp/1991,"Logic Programming, Proceedings of the 1991 International Symposium, San Diego, California, USA, Oct. 28 - Nov 1, 1991",ILPS,1991,,MIT Press,db/conf/slp/slp91.html
conf/hicss/2005,"38th Hawaii International Conference on System Sciences (HICSS-38 2005), CD-ROM / Abstracts Proceedings, 3-6 January 2005, Big Island, HI, USA",HICSS,2005,,IEEE Computer Society,db/conf/hicss/hicss2005.html
conf/fse/2000,"Fast Software Encryption, 7th International Workshop, FSE 2000, New York, NY, USA, April 10-12, 2000, Proceedings",FSE,2001,1978,Springer,db/conf/fse/fse2000.html
journals/tbe,IEEE Trans. Biomed. Engineering
conf/soda/1993,"Proceedings of the Fourth Annual ACM/SIGACT-SIAM Symposium on Discrete Algorithms, 25-27 January 1993, Austin, Texas.",SODA,1993,,ACM/SIAM,db/conf/soda/soda93.html
conf/compgeom/1991,"Proceedings of the Seventh Annual Symposium on Computational Geometry, North Conway, NH, USA, , June 10-12, 1991",Symposium on Computational Geometry,1991,,ACM,db/conf/compgeom/compgeom91.html
journals/mms,Multimedia Syst.
conf/vldb/80,"Sixth International Conference on Very Large Data Bases, October 1-3, 1980, Montreal, Quebec, Canada, Proceedings.",,1980,,IEEE Computer Society,db/conf/vldb/vldb80.html
conf/mm/1995,"Proceedings of the Third ACM International Conference on Multimedia '95, San Francisco, CA, USA, November 5-9, 1995.",ACM Multimedia,1995,,ACM Press,db/conf/mm/mm95.html
conf/compgeom/1986,"Proceedings of the Second Annual ACM SIGACT/SIGGRAPH Symposium on Computational Geometry, Yorktown Heights, NY, USA, June 2-4, 1986",Symposium on Computational Geometry,1986,,ACM,db/conf/compgeom/compgeom86.html
journals/advai,Adv. Artificial Intellegence
conf/pods/85,"Proceedings of the Fourth ACM SIGACT-SIGMOD Symposium on Principles of Database Systems, March 25-27, 1985, Portland, Oregon, USA",,1985,,ACM,db/conf/pods/pods85.html
conf/ppopp/1990,"Proceedings of the Second ACM SIGPLAN Symposium on Princiles &amp; Practice of Parallel Programming (PPOPP), Seattle, Washington, USA, March 14-16, 1990",PPOPP,1990,,ACM,db/conf/ppopp/ppopp90.html
conf/graphicsinterface/1999,"Proceedings of the Graphics Interface 1999 Conference, June 2-4, 1999, Kingston, Ontario, Canada",Graphics Interface,1999,,Canadian Human-Computer Communications Society,db/conf/graphicsinterface/graphicsinterface1999.html
conf/sp/1984,"Proceedings of the 1984 IEEE Symposium on Security and Privacy, Oakland, California, USA, April 29 - May 2, 1984",IEEE Symposium on Security and Privacy,1984,,IEEE Computer Society,db/conf/sp/sp1984.html
conf/icalp/1979,"Automata, Languages and Programming, 6th Colloquium, Graz, Austria, July 16-20, 1979, Proceedings",ICALP,1979,71,Springer,db/conf/icalp/icalp79.html
conf/lp/1985,"Logic Programming '85, Proceedings of the 4th Conference, Tokyo, Japan, July 1-3, 1985",LP,1986,221,Springer,db/conf/lp/lp85.html
conf/aaai/1984,"Proceedings of the National Conference on Artificial Intelligence. Austin, TX, August 6-10, 1984.",AAAI,1984,,AAAI Press,db/conf/aaai/aaai84.html
conf/parle/1994,"PARLE '94: Parallel Architectures and Languages Europe, 6th International PARLE Conference, Athens, Greece, July 4-8, 1994, Proceedings",PARLE,1994,817,Springer,db/conf/parle/parle94.html
conf/icse/1993,"Proceedings of the 15th International Conference on Software Engineering, Baltimore, Maryland, USA, May 17-21, 1993.",ICSE,1993,,IEEE Computer Society / ACM Press,db/conf/icse/icse93.html
conf/popl/1997,"Conference Record of POPL'97: The 24th ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages, Papers Presented at the Symposium, Paris, France, 15-17 January 1997",POPL,1997,,ACM Press,db/conf/popl/popl97.html
journals/aiedam,AI EDAM
conf/cscw/1990,"CSCW '90, Proceedings of the Conference on Computer Supported Cooperative Work, Los Angeles, CA, USA, October 7-10, 1990",CSCW,1990,,ACM,db/conf/cscw/cscw1990.html
conf/sigir/99,"SIGIR '99: Proceedings of the 22nd Annual International ACM SIGIR Conference on Research and Development in Information Retrieval, August 15-19, 1999, Berkeley, CA, USA",,1999,,ACM,db/conf/sigir/sigir99.html
conf/pepm/1997,"Proceedings of the ACM SIGPLAN Symposium on Partial Evaluation and Semantics-Based Program Manipulation (PEPM '97), Amsterdam, The Netherlands, June 12-13, 1997",PEPM,1997,,ACM,db/conf/pepm/pepm97.html
conf/icse/1991,"Proceedings of the 13th International Conference on Software Engineering, Austin, TX, USA, May 13-17, 1991.",ICSE,1991,,IEEE Computer Society / ACM Press,db/conf/icse/icse91.html
journals/expert,IEEE Expert
conf/soda/1991,"Proceedings of the Second Annual ACM/SIGACT-SIAM Symposium on Discrete Algorithms, 28-30 January 1991, San Francisco, California.",SODA,1991,,ACM/SIAM,db/conf/soda/soda91.html
conf/fsttcs/1985,"Foundations of Software Technology and Theoretical Computer Science, Fifth Conference, New Delhi, India, December 16-18, 1985, Proceedings",FSTTCS,1985,206,Springer,db/conf/fsttcs/fsttcs85.html
conf/vldb/98,"VLDB'98, Proceedings of 24rd International Conference on Very Large Data Bases, August 24-27, 1998, New York City, New York, USA",,1998,,Morgan Kaufmann,db/conf/vldb/vldb98.html
conf/ijcai/1983,"Proceedings of the 8th International Joint Conference on Artificial Intelligence. Karlsruhe, FRG, August 1983",IJCAI,1983,,William Kaufmann,db/conf/ijcai/ijcai83.html
conf/swat/1996,"Algorithm Theory - SWAT '96, 5th Scandinavian Workshop on Algorithm Theory, Reykjavík, Iceland, July 3-5, 1996, Proceedings",SWAT,1996,1097,Springer,db/conf/swat/swat96.html
conf/ride/91,"RIDE-IMS '91, First International Workshop on Research Issues on Data Engineering: Interoperability in Multidatabase Systems, April 7-9, 1991, Kyoto, Japan",,1991,,IEEE Computer Society,db/conf/ride/ride91.html
conf/stoc/STOC25,"Proceedings of the Twenty-Fifth Annual ACM Symposium on Theory of Computing, May 16-18, 1993, San Diego, CA, USA",STOC,1993,,ACM,db/conf/stoc/stoc1993.html
conf/icde/2001,"Proceedings of the 17th International Conference on Data Engineering, April 2-6, 2001, Heidelberg, Germany",,2001,,IEEE Computer Society,db/conf/icde/icde2001.html
conf/dasfaa/99,"Database Systems for Advanced Applications, Proceedings of the Sixth International Conference on Database Systems for Advanced Applications (DASFAA), April 19-21, Hsinchu, Taiwan",,1999,,IEEE Computer Society,db/conf/dasfaa/dasfaa99.html
conf/icde/89,"Proceedings of the Fifth International Conference on Data Engineering, February 6-10, 1989, Los Angeles, California, USA",,1989,,IEEE Computer Society,db/conf/icde/icde89.html
